gameid,home,team,SEC,pctFGA2P,pctFGA3P,pctPTS2P,pctPTSmidrange2P,pctPTS3P,pctFBPTS,pctPTSFT,pctPTSoffTOV,pctPIP,pctAST2P,pctUAST2P,pctAST3P,pctUAST3P,pctASTFGM,pctUASTFGM
22201085,True,TOR,14400,0.618,0.382,0.561,0.088,0.184,0.096,0.254,0.184,0.474,0.469,0.531,0.857,0.143,0.538,0.462
22201085,False,IND,14400,0.727,0.273,0.542,0.085,0.28,0.169,0.178,0.085,0.458,0.531,0.469,0.909,0.091,0.628,0.372
22201086,True,DAL,14400,0.551,0.449,0.432,0.0,0.408,0.088,0.16,0.136,0.432,0.519,0.481,0.765,0.235,0.614,0.386
22201086,False,GSW,14400,0.567,0.433,0.598,0.079,0.283,0.11,0.118,0.094,0.52,0.605,0.395,0.833,0.167,0.66,0.34
22201087,True,CHI,14400,0.699,0.301,0.615,0.066,0.198,0.242,0.187,0.242,0.549,0.429,0.571,1.0,0.0,0.529,0.471
22201087,False,PHI,14400,0.549,0.451,0.397,0.069,0.414,0.164,0.19,0.164,0.328,0.609,0.391,1.0,0.0,0.769,0.231
22201088,True,MEM,14400,0.586,0.414,0.508,0.0,0.277,0.138,0.215,0.185,0.508,0.515,0.485,0.833,0.167,0.6,0.4
22201088,False,HOU,14400,0.645,0.355,0.576,0.112,0.288,0.16,0.136,0.112,0.464,0.472,0.528,0.833,0.167,0.563,0.438
22201089,True,MIL,14400,0.561,0.439,0.554,0.138,0.346,0.2,0.1,0.177,0.415,0.361,0.639,0.733,0.267,0.471,0.529
22201089,False,SAS,14400,0.581,0.419,0.574,0.106,0.287,0.074,0.138,0.064,0.468,0.667,0.333,0.889,0.111,0.722,0.278
