gameid,home,team,SEC,PTSoffTOV,2ndPTS,FBPTS,PIP,oppPTSoffTOV,opp2ndPTS,oppFBPTS,oppPIP,BLK,BLKA,PF,foulsdrawn
22200143,True,LAC,14400,25,6,20,60,26,15,8,34,2,4,26,15
22200143,False,UTA,14400,26,15,8,34,25,6,20,60,4,2,15,26
22200144,True,CHA,14400,22,22,16,70,16,14,13,58,7,6,23,18
22200144,False,WAS,14400,16,14,13,58,22,22,16,70,6,7,18,23
22200145,True,ORL,14400,31,22,9,52,31,13,13,40,4,6,25,23
22200145,False,HOU,14400,31,13,13,40,31,22,9,52,6,4,23,25
22200146,True,DET,14400,13,20,9,56,16,14,13,52,9,11,19,26
22200146,False,OKC,14400,16,14,13,52,13,20,9,56,11,9,26,19
22200147,True,IND,14400,16,12,19,40,18,17,22,60,8,4,19,20
22200147,False,NOP,14400,18,17,22,60,16,12,19,40,4,8,20,19
22200148,True,PHI,14400,19,16,17,30,17,5,11,38,6,5,17,24
22200148,False,PHX,14400,17,5,11,38,19,16,17,30,5,6,24,17
22200149,True,ATL,14400,22,19,13,50,5,7,3,40,3,9,18,18
22200149,False,MIL,14400,5,7,3,40,22,19,13,50,9,3,18,18
22200150,True,MIA,14400,24,6,16,40,17,10,13,38,2,2,18,16
22200150,False,POR,14400,17,10,13,38,24,6,16,40,2,2,16,18
22200151,True,CHI,14400,21,11,16,56,23,4,13,50,7,7,21,20
22200151,False,TOR,14400,23,4,13,50,21,11,16,56,7,7,20,21
22200152,True,MEM,14400,18,16,11,48,13,9,15,48,4,6,23,19
22200152,False,BOS,14400,13,9,15,48,18,16,11,48,6,4,19,23
22200153,True,MIN,14400,17,9,19,48,26,19,17,38,8,2,18,23
22200153,False,NYK,14400,26,19,17,38,17,9,19,48,2,8,23,18
22200154,True,SAS,14400,24,16,16,54,35,11,18,62,5,7,17,14
22200154,False,DEN,14400,35,11,18,62,24,16,16,54,7,5,14,17
22200155,True,DAL,14400,23,24,6,32,26,17,10,38,3,5,20,26
22200155,False,BKN,14400,26,17,10,38,23,24,6,32,5,3,26,20
22200156,True,GSW,14400,16,5,8,44,22,9,15,42,4,0,21,20
22200156,False,SAC,14400,22,9,15,42,16,5,8,44,0,4,20,21
22200157,True,UTA,14400,21,19,20,58,21,9,11,52,7,5,23,21
22200157,False,LAL,14400,21,9,11,52,21,19,20,58,5,7,21,23
22200158,True,LAC,14400,25,6,7,34,10,8,18,46,2,2,19,21
22200158,False,CLE,14400,10,8,18,46,25,6,7,34,2,2,21,19
22200159,True,CHA,14400,27,18,22,48,13,10,12,50,3,4,22,19
22200159,False,POR,14400,13,10,12,50,27,18,22,48,4,3,19,22
22200160,True,IND,14400,15,14,12,52,26,16,18,54,5,7,23,15
22200160,False,DEN,14400,26,16,18,54,15,14,12,52,7,5,15,23
22200161,True,ORL,14400,4,9,8,50,10,5,10,40,6,4,20,19
22200161,False,DAL,14400,10,5,10,40,4,9,8,50,4,6,19,20
22200162,True,ATL,14400,16,12,13,60,11,20,16,50,5,6,16,20
22200162,False,UTA,14400,11,20,16,50,16,12,13,60,6,5,20,16
22200163,True,BOS,14400,12,12,13,48,15,21,5,42,4,3,25,19
22200163,False,DET,14400,15,21,5,42,12,12,13,48,3,4,19,25
22200164,True,BKN,14400,25,21,16,40,10,11,10,30,5,4,22,18
22200164,False,NYK,14400,10,11,10,30,25,21,16,40,4,5,18,22
22200165,True,TOR,14400,31,25,23,50,13,21,19,50,9,7,26,18
22200165,False,HOU,14400,13,21,19,50,31,25,23,50,7,9,18,26
22200166,True,CHI,14400,16,9,19,58,18,14,15,60,8,5,23,18
22200166,False,NOP,14400,18,14,15,60,16,9,19,58,5,8,18,23
22200167,True,MIN,14400,14,8,10,62,32,18,13,54,6,3,22,21
22200167,False,PHX,14400,32,18,13,54,14,8,10,62,3,6,21,22
22200168,True,OKC,17400,18,17,14,64,20,12,7,54,9,7,26,23
22200168,False,MIL,17400,20,12,7,54,18,17,14,64,7,9,23,26
22200169,True,SAS,15900,21,23,16,64,18,28,17,66,2,2,17,22
22200169,False,MEM,15900,18,28,17,66,21,23,16,64,2,2,22,17
22200170,True,LAC,14400,19,5,9,38,20,7,20,52,7,2,24,20
22200170,False,LAL,14400,20,7,20,52,19,5,9,38,2,7,20,24
22200171,True,SAC,14400,18,9,8,40,8,15,0,64,4,1,20,23
22200171,False,CLE,14400,8,15,0,64,18,9,8,40,1,4,23,20
22200172,True,WAS,14400,18,11,9,52,18,7,7,36,5,1,21,13
22200172,False,DAL,14400,18,7,7,36,18,11,9,52,1,5,13,21
22200173,True,ATL,14400,19,15,14,44,16,4,10,38,2,5,22,22
22200173,False,PHI,14400,16,4,10,38,19,15,14,44,5,2,22,22
22200174,True,MIA,15900,30,12,9,52,10,17,5,52,1,2,25,30
22200174,False,CHA,15900,10,17,5,52,30,12,9,52,2,1,30,25
22200175,True,NOP,14400,4,17,9,36,21,18,7,46,5,2,21,14
22200175,False,POR,14400,21,18,7,46,4,17,9,36,2,5,14,21
22200176,True,BOS,14400,9,13,18,52,4,17,11,46,5,1,19,16
22200176,False,DEN,14400,4,17,11,46,9,13,18,52,1,5,16,19
22200177,True,ORL,14400,11,16,0,50,14,6,12,44,4,4,11,14
22200177,False,PHX,14400,14,6,12,44,11,16,0,50,4,4,14,11
22200178,True,NYK,14400,20,20,7,60,18,13,11,54,3,6,31,23
22200178,False,DET,14400,18,13,11,54,20,20,7,60,6,3,23,31
22200179,True,OKC,14400,13,11,17,70,27,26,8,48,6,4,27,16
22200179,False,TOR,14400,27,26,8,48,13,11,17,70,4,6,16,27
